phone1-type	phone1-manner class	name	phone2-manner class	phone1-number	phone1-stress	phone2-stress	phone2-number	phone1-subnumber	phone2-type	outcome	phone2-subnumber
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
										class	
m	v	V	v	2	1	2	1	1	m	Preserved	1
m	v	Sc	s	1	2	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	1	2	1	m	Preserved	1
m	#	Fc	fs	0	-1	-1	0	0	o	Preserved	1
o	fs	Fr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
c	s	Sr	v	1	-1	1	1	1	m	Preserved	1
o	a	Fr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	fs	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fs	1	1	-1	1	1	c	Preserved	1
c	fs	Fr	s	1	-1	-1	1	1	c	Preserved	2
c	s	Sc	s	1	-1	-1	0	2	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	v	1	1	0	1	1	m	Preserved	1
m	v	V	g	1	0	-1	1	1	m	Preserved	1
m	g	G	v	1	-1	1	2	1	m	Preserved	1
m	v	V	s	2	1	-1	2	1	c	Preserved	1
m	v	Sc	s	2	1	-1	2	1	c	Preserved	1
m	v	V	s	1	2	-1	1	1	m	Preserved	1
m	v	Sc	s	1	2	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	1	2	1	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
m	v	Nc	n	1	1	-1	1	1	c	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fu	1	1	-1	1	1	c	Preserved	1
m	v	V	n	1	0	-1	1	1	c	Preserved	1
m	v	Nc	n	1	0	-1	1	1	c	Preserved	1
m	v	V	n	1	0	-1	1	1	c	Preserved	1
m	v	Nc	n	1	0	-1	1	1	c	Preserved	1
c	n	Nr	fn	1	-1	-1	0	1	o	Preserved	1
c	n	Fc	fn	1	-1	-1	0	1	o	Preserved	1
o	fn	Fr	v	0	-1	0	1	1	m	Preserved	1
m	v	V	v	1	0	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	m	Preserved	1
m	v	Sc	s	1	1	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	0	2	1	m	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fu	1	1	-1	1	1	c	Preserved	1
c	fu	Fr	s	1	-1	-1	1	1	c	Preserved	2
m	#	Sc	s	0	-1	-1	0	0	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	1	-1	0	1	o	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fu	1	1	-1	1	1	c	Preserved	1
c	fu	Fr	s	1	-1	-1	0	1	o	Preserved	1
o	s	Sr	g	0	-1	-1	0	1	o	Preserved	2
o	g	G	v	0	-1	1	1	2	m	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fu	1	1	-1	1	1	c	Preserved	1
c	fu	Fr	fs	1	-1	-1	1	1	c	Preserved	2
c	fu	Fc	fs	1	-1	-1	1	1	c	Preserved	2
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
m	v	Sc	s	1	1	-1	1	1	c	Preserved	1
m	v	V	s	1	2	-1	1	1	m	Preserved	1
m	v	Sc	s	1	2	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	1	2	1	m	Preserved	1
m	v	V	s	1	2	-1	1	1	m	Preserved	1
m	v	Sc	s	1	2	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	1	2	1	m	Preserved	1
m	v	V	g	2	1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	fs	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fs	1	1	-1	1	1	c	Preserved	1
c	fs	Fr	s	1	-1	-1	0	1	o	Preserved	1
o	s	Sr	g	0	-1	-1	0	1	o	Preserved	2
o	g	G	v	0	-1	1	1	2	m	Preserved	1
m	v	V	s	1	1	-1	1	1	m	Preserved	1
m	v	V	s	2	0	-1	2	1	m	Preserved	1
m	v	Sc	s	2	0	-1	2	1	m	Preserved	1
m	s	Sr	g	2	-1	-1	2	1	m	Preserved	2
m	g	G	v	2	-1	0	3	2	m	Preserved	1
m	#	Nc	n	0	-1	-1	0	0	o	Preserved	1
o	n	Nr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
m	v	Nc	n	1	1	-1	1	1	c	Preserved	1
c	n	Nr	s	1	-1	-1	0	1	o	Preserved	1
m	v	V	fs	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fs	1	1	-1	1	1	c	Preserved	1
o	fs	Fr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
m	v	V	g	1	1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	1	-1	0	1	o	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	V	s	1	0	-1	0	1	o	Preserved	1
m	v	Sc	s	1	0	-1	0	1	o	Preserved	1
o	s	Sr	g	0	-1	-1	0	1	o	Preserved	2
o	g	G	v	0	-1	1	1	2	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
c	n	Nr	g	1	-1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	1	-1	1	1	c	Preserved	1
c	g	G	fs	1	-1	-1	1	1	c	Preserved	2
m	v	V	fs	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fs	1	1	-1	1	1	c	Preserved	1
c	fs	Fr	g	1	-1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
c	g	G	s	1	-1	-1	0	1	o	Preserved	1
c	g	Sc	s	1	-1	-1	0	1	o	Preserved	1
o	s	Sr	g	0	-1	-1	0	1	o	Preserved	2
o	g	G	v	0	-1	1	1	2	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
m	v	Nc	n	1	1	-1	1	1	c	Preserved	1
m	v	V	fs	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fs	1	1	-1	1	1	c	Preserved	1
c	fs	Fr	v	1	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
m	v	Sc	s	1	1	-1	1	1	c	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	fn	1	1	-1	0	1	o	Preserved	1
m	v	Fc	fn	1	1	-1	0	1	o	Preserved	1
o	fn	Fr	v	0	-1	0	1	1	m	Preserved	1
m	v	V	g	1	0	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fu	1	1	-1	1	1	c	Preserved	1
c	fu	Fr	s	1	-1	-1	1	1	c	Preserved	2
c	s	Sr	v	1	-1	1	1	2	m	Preserved	1
c	g	G	s	1	-1	-1	0	1	o	Preserved	1
c	g	Sc	s	1	-1	-1	0	1	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	0	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fu	1	1	-1	1	1	c	Preserved	1
c	fu	Fc	fn	1	-1	-1	0	1	o	Preserved	1
o	fn	Fr	v	0	-1	0	1	1	m	Preserved	1
m	v	V	s	1	0	-1	0	1	o	Preserved	1
m	v	Sc	s	1	0	-1	0	1	o	Preserved	1
o	s	Sr	g	0	-1	-1	0	1	o	Preserved	2
o	g	G	v	0	-1	1	1	2	m	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fu	1	1	-1	1	1	c	Preserved	1
c	fu	Fr	fs	1	-1	-1	1	1	c	Preserved	2
c	fu	Fc	fs	1	-1	-1	1	1	c	Preserved	2
m	v	V	v	1	1	2	1	1	m	Preserved	1
m	v	V	s	1	2	-1	1	1	m	Preserved	1
m	v	Sc	s	1	2	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	1	2	1	m	Preserved	1
m	#	Sc	s	0	-1	-1	0	0	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
c	g	G	v	1	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
c	s	Fc	fs	1	-1	-1	1	1	c	Preserved	2
c	fs	Fr	v	1	-1	1	1	2	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
m	v	Sc	s	1	1	-1	1	1	c	Preserved	1
c	s	Sr	v	1	-1	1	1	1	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
m	v	Nc	n	1	1	-1	1	1	c	Preserved	1
c	n	Nr	fn	1	-1	-1	0	1	o	Preserved	1
m	v	V	n	1	0	-1	1	1	c	Preserved	1
m	v	Nc	n	1	0	-1	1	1	c	Preserved	1
c	n	Nr	fn	1	-1	-1	0	1	o	Preserved	1
m	v	V	s	1	0	-1	0	1	o	Preserved	1
m	v	Sc	s	1	0	-1	0	1	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
m	v	Sc	s	1	1	-1	1	1	c	Preserved	1
m	#	Fc	fs	0	-1	-1	0	0	o	Preserved	1
o	fs	Fr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fu	1	1	-1	1	1	c	Preserved	1
m	v	V	s	1	1	-1	0	1	o	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
c	s	Fc	fn	1	-1	-1	0	2	o	Preserved	1
o	fn	Fr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
c	n	Sc	s	1	-1	-1	1	1	c	Preserved	2
c	s	Sr	v	1	-1	1	1	2	m	Preserved	1
m	v	V	g	1	1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	fu	1	1	-1	1	1	c	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
m	v	V	fs	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fs	1	1	-1	1	1	c	Preserved	1
c	fs	Fr	v	1	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
c	s	Sc	s	1	-1	-1	0	1	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	1	-1	1	1	c	Preserved	1
c	g	G	s	1	-1	-1	1	1	c	Preserved	2
c	g	Sc	s	1	-1	-1	1	1	c	Preserved	2
c	s	Sr	v	1	-1	0	1	2	m	Preserved	1
m	v	V	s	1	0	-1	1	1	m	Preserved	1
m	v	Sc	s	1	0	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	1	2	1	m	Preserved	1
m	v	V	n	2	1	-1	2	1	c	Preserved	1
m	v	V	s	1	1	-1	0	1	o	Preserved	1
m	v	Sc	s	1	1	-1	0	1	o	Preserved	1
o	s	Sr	g	0	-1	-1	0	1	o	Preserved	2
o	g	G	v	0	-1	1	1	2	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
m	v	Nc	n	1	1	-1	1	1	c	Preserved	1
c	n	Nr	s	1	-1	-1	0	1	o	Preserved	1
c	n	Sc	s	1	-1	-1	0	1	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	v	1	1	2	1	1	m	Preserved	1
m	v	V	s	1	2	-1	1	1	m	Preserved	1
m	v	Sc	s	1	2	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	1	2	1	m	Preserved	1
m	v	V	s	1	2	-1	1	1	m	Preserved	1
m	v	Sc	s	1	2	-1	1	1	m	Preserved	1
m	s	Sr	v	1	-1	1	2	1	m	Preserved	1
m	v	V	fs	2	1	-1	0	1	o	Preserved	1
m	v	Fc	fs	2	1	-1	0	1	o	Preserved	1
o	fs	Fr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	g	1	1	-1	0	1	o	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
m	v	V	s	1	1	-1	1	1	c	Preserved	1
o	g	G	v	0	-1	1	1	1	m	Preserved	1
c	g	G	s	1	-1	-1	0	1	o	Preserved	1
c	g	Sc	s	1	-1	-1	0	1	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	n	1	1	-1	1	1	m	Preserved	1
m	v	Nc	n	1	1	-1	1	1	m	Preserved	1
m	n	Nr	v	1	-1	0	2	1	m	Preserved	1
m	v	V	s	2	0	-1	0	1	o	Preserved	1
m	v	Sc	s	2	0	-1	0	1	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	v	1	1	1	1	1	m	Preserved	1
m	v	V	fs	1	1	-1	1	1	c	Preserved	1
m	v	Fc	fs	1	1	-1	1	1	c	Preserved	1
c	fs	Fr	s	1	-1	-1	0	1	o	Preserved	1
o	s	Sr	v	0	-1	1	1	1	m	Preserved	1
m	v	V	n	1	1	-1	1	1	c	Preserved	1
